[root@pacstat1 pssh]# sh batch-get.sh 
[219] 21:40:41 [SUCCESS] 10.10.56.116
[220] 21:40:41 [SUCCESS] 10.10.56.115
[221] 21:40:41 [SUCCESS] 10.10.56.110
[222] 21:40:41 [SUCCESS] 10.10.232.56
[223] 21:40:41 [SUCCESS] 10.10.56.177
[224] 21:40:41 [SUCCESS] 10.10.232.55
[225] 21:40:41 [SUCCESS] 10.10.56.72
[226] 21:40:41 [SUCCESS] 10.10.56.119
[227] 21:40:41 [SUCCESS] 10.10.56.123
[228] 21:40:41 [SUCCESS] 10.10.232.54
[229] 21:40:41 [SUCCESS] 10.10.56.122
[230] 21:40:41 [SUCCESS] 10.10.56.124
[231] 21:40:41 [SUCCESS] 10.10.232.50
[232] 21:40:41 [SUCCESS] 10.10.56.178
[233] 21:40:41 [SUCCESS] 10.10.56.126
[234] 21:40:41 [SUCCESS] 10.10.56.130
[235] 21:40:41 [SUCCESS] 10.10.56.125
[236] 21:40:41 [SUCCESS] 10.10.56.132
[237] 21:40:41 [SUCCESS] 10.10.56.127
[238] 21:40:41 [SUCCESS] 10.10.56.129
[239] 21:40:41 [SUCCESS] 10.10.232.62
[240] 21:40:41 [SUCCESS] 10.10.232.61
[241] 21:40:41 [SUCCESS] 10.10.56.161
[242] 21:40:41 [SUCCESS] 10.10.56.111
[243] 21:40:41 [SUCCESS] 10.10.56.176
[244] 21:40:41 [SUCCESS] 10.10.56.133
[245] 21:40:41 [SUCCESS] 10.10.56.155
[246] 21:40:41 [SUCCESS] 10.10.56.131
[247] 21:40:41 [SUCCESS] 10.10.56.134
[248] 21:40:41 [SUCCESS] 10.10.56.135
[249] 21:40:41 [SUCCESS] 10.10.56.163
[250] 21:40:41 [SUCCESS] 10.10.56.128
[251] 21:40:41 [SUCCESS] 10.10.56.189
[252] 21:40:41 [SUCCESS] 10.10.56.172
[253] 21:40:41 [SUCCESS] 10.10.56.162
[254] 21:40:41 [SUCCESS] 10.10.56.152
[255] 21:40:41 [SUCCESS] 10.10.56.138
[256] 21:40:41 [SUCCESS] 10.10.232.135
[257] 21:40:41 [SUCCESS] 10.10.56.187
[258] 21:40:41 [SUCCESS] 10.10.232.144
[259] 21:40:41 [SUCCESS] 10.10.56.184
[260] 21:40:41 [SUCCESS] 10.10.232.95
[261] 21:40:41 [SUCCESS] 10.10.56.181
[262] 21:40:41 [SUCCESS] 10.10.232.165
[263] 21:40:41 [SUCCESS] 10.10.232.145
[264] 21:40:41 [SUCCESS] 10.10.56.182
[265] 21:40:41 [SUCCESS] 10.10.56.193
[266] 21:40:41 [SUCCESS] 10.10.232.167
[267] 21:40:41 [SUCCESS] 10.10.56.217
[268] 21:40:41 [SUCCESS] 10.10.232.65
[269] 21:40:41 [SUCCESS] 10.10.56.197
[270] 21:40:41 [SUCCESS] 10.10.232.162
[271] 21:40:41 [FAILURE] 10.10.232.147 Exited with error code 1
